mean,std,var,label
88.81909391534391,53.66652079467669,2880.0954542054656,0
136.8944642857143,76.79858995509825,5898.023419091317,0
119.82705985005171,75.2290695602277,5659.412906897578,0
85.95882473423057,61.07534233808297,3730.19744171403,0
140.42036098691835,75.5359802130196,5705.684306741688,0
145.48427027027026,59.921395448165946,3590.5736324554828,1
144.76851225304833,51.53354359723256,2655.7061156878685,1
159.03685378373902,64.95998329747778,4219.799430008591,1
193.3159190117953,92.02099071856426,8467.86273282609,1
169.90807563547827,56.919937406527964,3239.8792743630615,1
